Organism	Domain	Group	Plant Pathogen	Plant Associated	ecology
Acidovorax-citrulli	Bacteria	B-proteobacteria	Yes	Yes	Plant Pathogen
Acidovorax-konjaci	Bacteria	B-proteobacteria	Yes	Yes	Plant Pathogen
Acidovorax-oryzae	Bacteria	B-proteobacteria	Yes	Yes	Plant Pathogen
Ralstonia-solanacearum	Bacteria	B-proteobacteria	Yes	Yes	Plant Pathogen
Ralstonia-syzygii	Bacteria	B-proteobacteria	Yes	Yes	Plant Pathogen
Anthracocystis-flocculosa	Fungi	Basidiomycota	Yes	Yes	Plant Pathogen
Melampsora-laricipopulina	Fungi	Basidiomycota	Yes	Yes	Plant Pathogen
Puccinia-graminis	Fungi	Basidiomycota	Yes	Yes	Plant Pathogen
Puccinia-sorghi	Fungi	Basidiomycota	Yes	Yes	Plant Pathogen
Puccinia-striiformis	Fungi	Basidiomycota	Yes	Yes	Plant Pathogen
Puccinia-triticina	Fungi	Basidiomycota	Yes	Yes	Plant Pathogen
Rhizoctonia-solani	Fungi	Basidiomycota	Yes	Yes	Plant Pathogen
Dickeya-chrysanthemi	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Dickeya-dadantii	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Dickeya-dianthicola	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Dickeya-solani	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Dickeya-zeae	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Erwinia-tracheiphila	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Lonsdalea-quercina	Bacteria	Gammaproteobacteria	No	Yes	Plant Pathogen
Pantoea-stewartii	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Pectobacterium-atrosepticum	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Pectobacterium-betavasculorum	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Pectobacterium-carotovorum	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Pectobacterium-parmentieri	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Pectobacterium-wasabiae	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Clostridium-puniceum	Bacteria	Firmicutes	Yes	Yes	Plant Pathogen
Albugo-candida	Eukaryota	Stramenopiles	Yes	Yes	Plant Pathogen
Albugo-laibachii	Eukaryota	Stramenopiles	Yes	Yes	Plant Pathogen
Phytophthora-infestans	Eukaryota	Stramenopiles	Yes	Yes	Plant Pathogen
Phytophthora-nicotianae	Eukaryota	Stramenopiles	Yes	Yes	Plant Pathogen
Phytophthora-parasitica	Eukaryota	Stramenopiles	Yes	Yes	Plant Pathogen
Phytophthora-sojae	Eukaryota	Stramenopiles	Yes	Yes	Plant Pathogen
Plasmopara-halstedii	Eukaryota	Stramenopiles	Yes	Yes	Plant Pathogen
Xanthomonas-albilineans	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-arboricola	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-axonopodis	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-bromi	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-campestris	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-cannabis	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-citri	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-fuscans	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-gardneri	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-hortorum	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-maliensis	Bacteria	Gammaproteobacteria	No	Yes	Plant Pathogen
Xanthomonas-oryzae	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-phaseoli	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-pisi	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-sacchari	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-translucens	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xanthomonas-vasicola	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xylella-fastidiosa	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Xylella-taiwanensis	Bacteria	Gammaproteobacteria	Yes	Yes	Plant Pathogen
Cryptosporangium-arvum	Bacteria	Actinobacteria	No	Yes	Saprophyte
Micromonospora-nigra	Bacteria	Actinobacteria	No	Yes	Saprophyte
Micromonospora-parva	Bacteria	Actinobacteria	No	Yes	Saprophyte
Micromonospora-sediminicola	Bacteria	Actinobacteria	No	No	Saprophyte
Micromonospora-siamensis	Bacteria	Actinobacteria	No	No	Saprophyte
Nocardia-arthritidis	Bacteria	Actinobacteria	No	Yes	Saprophyte
Nocardia-beijingensis	Bacteria	Actinobacteria	No	Yes	Saprophyte
Nocardia-brasiliensis	Bacteria	Actinobacteria	No	Yes	Saprophyte
Nocardia-concava	Bacteria	Actinobacteria	No	Yes	Saprophyte
Nocardia-exalbida	Bacteria	Actinobacteria	No	Yes	Saprophyte
Planobispora-rosea	Bacteria	Actinobacteria	No	Yes	Saprophyte
Planomonospora-sphaerica	Bacteria	Actinobacteria	No	Yes	Saprophyte
Streptomyces-xylophagus	Bacteria	Actinobacteria	No	Yes	Saprophyte
Dictyostelium-discoideum	Eukaryota	Amoebozoa	No	No	Saprophyte
Dictyostelium-fasciculatum	Eukaryota	Amoebozoa	No	Yes	Saprophyte
Dictyostelium-lacteum	Eukaryota	Amoebozoa	No	No	Saprophyte
Dictyostelium-purpureum	Eukaryota	Amoebozoa	No	No	Saprophyte
Physarum-polycephalum	Eukaryota	Amoebozoa	No	Yes	Saprophyte
Polysphondylium-pallidum	Eukaryota	Amoebozoa	No	Yes	Saprophyte
Aspergillus-brasiliensis	Fungi	Ascomycota	Yes	Yes	Saprophyte
Aspergillus-calidoustus	Fungi	Ascomycota	No	No	Saprophyte
Aspergillus-fischeri	Fungi	Ascomycota	No	No	Saprophyte
Aspergillus-fumigatus	Fungi	Ascomycota	No	Yes	Saprophyte
Aspergillus-kawachii	Fungi	Ascomycota	No	Yes	Saprophyte
Aspergillus-lentulus	Fungi	Ascomycota	No	Yes	Saprophyte
Aspergillus-luchuensis	Fungi	Ascomycota	No	Yes	Saprophyte
Aspergillus-nidulans	Fungi	Ascomycota	No	No	Saprophyte
Aspergillus-niger	Fungi	Ascomycota	Yes	Yes	Saprophyte
Aspergillus-nomius	Fungi	Ascomycota	No	Yes	Saprophyte
Aspergillus-ochraceoroseus	Fungi	Ascomycota	Yes	Yes	Saprophyte
Aspergillus-oryzae	Fungi	Ascomycota	Yes	Yes	Saprophyte
Aspergillus-parasiticus	Fungi	Ascomycota	No	Yes	Saprophyte
Aspergillus-rambellii	Fungi	Ascomycota	No	Yes	Saprophyte
Aspergillus-sydowii	Fungi	Ascomycota	No	No	Saprophyte
Aspergillus-tubingensis	Fungi	Ascomycota	No	Yes	Saprophyte
